
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        128 K
Secure System                   56 Services                   0     13,908 K
Registry                       104 Services                   0     39,504 K
smss.exe                       408 Services                   0        280 K
csrss.exe                      540 Services                   0      2,504 K
wininit.exe                    616 Services                   0      1,996 K
csrss.exe                      624 Console                    1      3,228 K
services.exe                   688 Services                   0      7,972 K
LsaIso.exe                     720 Services                   0      1,364 K
lsass.exe                      728 Services                   0     12,200 K
winlogon.exe                   764 Console                    1      5,024 K
svchost.exe                    916 Services                   0     19,792 K
fontdrvhost.exe                948 Console                    1      2,468 K
fontdrvhost.exe                940 Services                   0      1,400 K
svchost.exe                    452 Services                   0     11,924 K
svchost.exe                    440 Services                   0      5,084 K
svchost.exe                   1032 Services                   0      4,048 K
svchost.exe                   1088 Services                   0      9,320 K
svchost.exe                   1124 Services                   0      7,072 K
dwm.exe                       1208 Console                    1     19,064 K
svchost.exe                   1452 Services                   0     12,256 K
svchost.exe                   1472 Services                   0     12,596 K
svchost.exe                   1528 Services                   0     28,264 K
svchost.exe                   1548 Services                   0      4,628 K
svchost.exe                   1556 Services                   0      4,676 K
svchost.exe                   1568 Services                   0      3,872 K
svchost.exe                   1576 Services                   0     13,504 K
svchost.exe                   1584 Services                   0      6,216 K
svchost.exe                   1608 Services                   0     11,048 K
Memory Compression            1744 Services                   0     31,948 K
svchost.exe                   1812 Services                   0      9,408 K
svchost.exe                   1880 Services                   0      7,352 K
svchost.exe                   1904 Services                   0     14,580 K
svchost.exe                   1944 Services                   0      9,508 K
svchost.exe                   1972 Services                   0      6,552 K
svchost.exe                   1992 Services                   0      5,540 K
svchost.exe                   2004 Services                   0      2,216 K
svchost.exe                   1368 Services                   0      5,072 K
svchost.exe                   2100 Services                   0      5,648 K
svchost.exe                   2192 Services                   0      9,940 K
svchost.exe                   2260 Services                   0      7,472 K
svchost.exe                   2312 Services                   0      8,848 K
svchost.exe                   2344 Services                   0     11,676 K
svchost.exe                   2476 Services                   0      5,288 K
svchost.exe                   2484 Services                   0      6,388 K
svchost.exe                   2492 Services                   0      7,752 K
svchost.exe                   2640 Services                   0      6,460 K
svchost.exe                   2708 Services                   0     14,164 K
svchost.exe                   2760 Services                   0     11,116 K
spoolsv.exe                   2836 Services                   0     12,256 K
svchost.exe                   2872 Services                   0     11,548 K
svchost.exe                   2920 Services                   0      6,224 K
svchost.exe                   2040 Services                   0      4,560 K
dasHost.exe                   2524 Services                   0      3,320 K
svchost.exe                   3104 Services                   0      5,828 K
Dell.TechHub.exe              3568 Services                   0     23,756 K
svchost.exe                   3576 Services                   0      6,004 K
svchost.exe                   3584 Services                   0     19,516 K
svchost.exe                   3592 Services                   0     19,440 K
mysqld.exe                    3612 Services                   0      3,112 K
svchost.exe                   3620 Services                   0      9,152 K
svchost.exe                   3628 Services                   0     27,764 K
svchost.exe                   3636 Services                   0      4,836 K
SebWindowsServiceWCF.exe      3716 Services                   0      8,568 K
MpDefenderCoreService.exe     3744 Services                   0     15,976 K
svchost.exe                   3792 Services                   0      4,204 K
MsMpEng.exe                   3812 Services                   0    233,024 K
svchost.exe                   3836 Services                   0     20,032 K
svchost.exe                   3916 Services                   0      4,088 K
svchost.exe                   4044 Services                   0      8,948 K
svchost.exe                   2624 Services                   0      7,592 K
svchost.exe                   3312 Services                   0      9,196 K
svchost.exe                   1596 Services                   0      6,896 K
SearchIndexer.exe             4208 Services                   0     19,844 K
mysqld.exe                    4404 Services                   0      3,184 K
conhost.exe                   4428 Services                   0      5,292 K
svchost.exe                   4712 Services                   0      5,380 K
svchost.exe                   5824 Services                   0     16,904 K
dllhost.exe                   5880 Services                   0     10,528 K
AggregatorHost.exe            6052 Services                   0      4,532 K
svchost.exe                   6076 Services                   0     14,976 K
NisSrv.exe                    1848 Services                   0     12,188 K
sihost.exe                     648 Console                    1     26,392 K
svchost.exe                   2972 Console                    1     19,508 K
svchost.exe                   5228 Console                    1     18,384 K
svchost.exe                   4440 Services                   0     15,092 K
taskhostw.exe                 5796 Console                    1     17,424 K
